Name, Year
Madden NFL 2004,2003
FIFA Soccer 2004,2003
LEGO Batman: The Videogame,2008
wwe Smackdown vs. Raw 2006,2005
Space Invaders,1999
Rock Band,2007
Frogger's Adventures: Temple of the Frog,2001
LEGO Indiana Jones: The Original Adventures,2007
Call of Duty 3,2006
Rock Band,2007
Call of Duty: Black Ops,2010
Rock Band,2007
Triple Play 99,1998
LEGO Harry Potter: Years 5-7,2011
LEGO Batman: The Videogame,2008
Adventure,N/A
Combat,2001
NASCAR Thunder 2003,2002
Hitman 2: Silent Assassin,2002
Rock Band,2007
Legacy of Kain: Soul Reaver,1999
Donkey Kong Land III,1997
LEGO Harry Potter: Years 5-7,2011
Air-Sea Battle,1977
Suikoden III,2002
Yakuza 4,2010
LEGO Harry Potter: Years 5-7,2011
Wheel of Fortune,2010
Namco Museum,2007
Rhythm Heaven,2008
The Lord of the Rings: War in the North,N/A
The Lord of the Rings: War in the North,N/A
Madden NFL 07,2006
MLB SlugFest 20-03,N/A
Shaun White Snowboarding,2008
PES 2009: Pro Evolution Soccer,N/A
Madden NFL 11,2010
WarioWare: Twisted!,2004
LEGO Harry Potter: Years 5-7,2011
Test Drive Unlimited 2,2011
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",N/A
Test Drive Unlimited 2,2011
Monster Hunter 2,2006
Advance Wars: Days of Ruin,2008
Metal Gear Solid 2: Substance,2002
The Golden Compass,2007
Madden NFL 06,2005
NASCAR: Dirt to Daytona,2002
Madden NFL 2002,2001
Def Jam: Fight for NY,2004
NBA Street Vol. 2,2003
Fishing Derby,1980
Wet,2009
Sonic the Hedgehog,1991
Karate,1982
Tiger Woods PGA Tour 07,2006
Circus Atari,2012
The Chronicles of Riddick: Escape from Butcher Bay,2004
Maze Craze: A Game of Cops 'n Robbers,N/A
Silent Hill: Homecoming,2008
Super Breakout,2017
Robert Ludlum's The Bourne Conspiracy,2008
NHL Slapshot,2010
TERA,2017
LEGO Harry Potter: Years 5-7,2011
NFL GameDay 2003,2002
Silent Hill: Homecoming,2008
Harvest Moon: Save the Homeland,2001
Robert Ludlum's The Bourne Conspiracy,2008
Hangman,2017
The Golden Compass,2007
NBA Live 2003,2002
Bejeweled 3,2010
Cubix Robots for Everyone: Clash 'n' Bash,N/A
Tropico 4,2011
Tomb Raider,2013
Dragon Ball Z: Budokai Tenkaichi 2,2006
Custom Robo,2004
Final Fantasy XI,2002
Singularity,2010
Dragster,1980
All-Star Baseball 2005,2004
Star Wars Jedi Knight II: Jedi Outcast,2002
Slot Machine,2016
Shrek the Third,2007
The Dukes of Hazzard II: Daisy Dukes It Out,2000
Disgaea 3: Absence of Detention,2012
NBA Live 2003,2002
Harvest Moon: The Tale of Two Towns,1996
Nicktoons: Battle for Volcano Island,2006
Haven: Call of the King,2002
Unreal Championship 2: The Liandri Conflict,2004
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",N/A
Pac-Man Fever,2002
The Legend of Zelda: The Minish Cap,2004
Indy 500,1977
Gun,2005
Flag Capture,N/A
LEGO Harry Potter: Years 5-7,2011
Rock Revolution,2008
Jonah Lomu Rugby Challenge,2011
College Hoops 2K6,2005
Mega Man X Collection,2006
BioShock 2,2010
Singularity,2010
Danganronpa: Trigger Happy Havoc,2010
DanceDanceRevolution II,2011
Tony Hawk's Downhill Jam,2006
Big Beach Sports 2,2010
Jet X20,N/A
Tribes: Aerial Assault,2002
Move Fitness,2011
LEGO Harry Potter: Years 5-7,2011
Yu Yu Hakusho: Dark Tournament,2001
Ghostbusters II,1990
Breakaway IV,N/A
Robotech: Battlecry,2002
Valkyria Chronicles III: Unrecorded Chronicles,N/A
WRC: FIA World Rally Championship,2010
Famista 64,1997
Dead Space 3,2013
Test Drive Unlimited 2,2011
Pet Zombies,2011
Star Trek: Legacy,2006
Trauma Team,2010
Backbreaker,2010
Twisted Metal: Small Brawl,2001
Otomedius Excellent,2011
NBA Starting Five,N/A
Teen Titans,2005
Backbreaker,2010
James Cameron's Dark Angel,2002
Sword of the Samurai,1989
Splatterhouse,1989
Alone in the Dark: The New Nightmare,2001
Vegas Party,2009
Jurassic Park: The Game,2011
Home Run,2017
eJay Clubworld,N/A
All-Star Baseball 2005,2004
Our House Party!,2009
WCW Backstage Assault,2000
Bejeweled 3,2010
Bejeweled 3,2010
Disney's Cinderella: Magical Dreams,N/A
Transworld Surf,2001
Street Fighter IV,2009
Nintendo Puzzle Collection,2003
Charm Girls Club: My Fashion Mall,2009
WRC: FIA World Rally Championship,2010
Record of Agarest War Zero,2011
Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,N/A
Saru! Get You! Million Monkeys,N/A
Street Hoops,2002
Godzilla: Destroy All Monsters Melee,2002
The Daring Game for Girls,2009
Rocksmith,2011
Major League Baseball 2K6,2006
Happy Feet Two,2011
Star Trek: Conquest,2007
GiFTPiA,2003
Disney's Chicken Little: Ace In Action,2006
Happy Feet Two,2011
Atsumare! Power Pro Kun no DS Koushien,N/A
My Healthy Cooking Coach,2009
Happy Feet Two,2011
Luminous Arc 2,2008
The Daring Game for Girls,2009
Egg Monster Hero,2005
Samurai Shodown Anthology,2009
Demon Chaos,2007
Action Man-Operation Extreme,2000
Super Puzzle Fighter II,N/A
Happy Feet Two,2011
Charm Girls Club: My Fashion Show,2009
Get Fit with Mel B,2010
Face Racers: Photo Finish,2011
Zero: Tsukihami no Kamen,2009
The Hidden,2011
Rock Revolution,2008
Dead Island: Riptide,2013
Mega Man Battle Network: Operation Shooting Star,N/A
Smashing Drive,2002
Dream Trigger 3D,2011
Tornado,2008
McFarlane's Evil Prophecy,N/A
Drake of the 99 Dragons,2004
Port Royale 3,2012
Build-A-Bear Workshop: Friendship Valley,2010
Alex Rider: Stormbreaker,2006
Yoostar on MTV,2011
Rayman Arena,2001
National Geographic Challenge!,2011
Port Royale 3,2012
Jewel Link Chronicles: Mountains of Madness,2012
Chou Soujuu Mecha MG,2006
Prinny: Can I Really Be The Hero? (US sales),2009
Combat Elite: WWII Paratroopers,N/A
Captain America: Super Soldier,2011
Flip's Twisted World,2010
Mobile Ops: The One Year War,2011
Tom Clancy's Rainbow Six: Critical Hour,2006
GRID,2008
Captain America: Super Soldier,2011
Reader Rabbit 2nd Grade,2011
Mountain Bike Adrenaline,N/A
Tour de France 2011,N/A
Drill Dozer,2016
Battle vs. Chess,2011
The History Channel: Great Battles - Medieval,N/A
Monster Hunter Frontier Online,2010
RollerCoaster Tycoon,1999
GRID,2008
B.L.U.E.: Legend of Water,1998
Luxor: Pharaoh's Challenge,N/A
NHL Hitz Pro,2003
Sega Rally 2006,2006
World of Tanks,2010
Swords,2010
Half-Minute Hero 2,2014
Clockwork Empires,2016
Housekeeping,N/A
Major League Baseball 2K8,2008
Sabre Wulf,1984
Beyond the Labyrinth,2012
Bikkuriman Daijiten,N/A
Majesty 2: The Fantasy Kingdom Sim,2009
Fullmetal Alchemist: Brotherhood,2010
Combat Elite: WWII Paratroopers,N/A
Samurai Spirits: Tenkaichi Kenkakuden,N/A
Battle vs. Chess,2011
Tom and Jerry in War of the Whiskers,2002
Super Duper Sumos,N/A
Legacy of Ys: Books I & II,N/A
The King of Fighters: Maximum Impact - Maniax,N/A
Combat Wings: The Great Battles of WWII,2012
Tube Slider,2003
Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,N/A
Wii de Asobu: Metroid Prime,N/A
Payout Poker & Casino,N/A
Wii de Asobu: Metroid Prime,N/A
Saint,2009
Steal Princess,2009
Mario Tennis,2010
Runaway: A Twist of Fate,2009
Yu-Gi-Oh! 5D's Wheelie Breakers,2009
Cabela's Alaskan Adventure,N/A
Writing and Speaking Beautiful Japanese DS,N/A
Virtua Quest,2004
Shonen Jump's Yu-Gi-Oh! GX Card Almanac,N/A
Without Warning,N/A
